subject	session	task	run	run_key	nss_count	number_of_original_volumes	number_of_steady_state_volumes	software_versions	selection_reason	historical_pca_components	historical_ica_components	historical_accepted_components	historical_rejected_components	full_fastica_pca_components	full_fastica_ica_components	full_fastica_accepted_components	full_fastica_rejected_components	full_fastica_aic_components	full_fastica_kic_components	full_fastica_mdl_components	full_fastica_varex_90_components	full_fastica_varex_95_components	nss_fastica_pca_components	nss_fastica_ica_components	nss_fastica_accepted_components	nss_fastica_rejected_components	nss_fastica_aic_components	nss_fastica_kic_components	nss_fastica_mdl_components	nss_fastica_varex_90_components	nss_fastica_varex_95_components	nss_robustica_pca_components	nss_robustica_ica_components	nss_robustica_accepted_components	nss_robustica_rejected_components	nss_robustica_aic_components	nss_robustica_kic_components	nss_robustica_mdl_components	nss_robustica_varex_90_components	nss_robustica_varex_95_components	nss_minus_full_pca_components	nss_minus_full_ica_components	nss_minus_full_accepted_components	nss_minus_full_rejected_components	nss_minus_full_aic_components	nss_minus_full_kic_components	nss_minus_full_mdl_components	nss_minus_full_varex_90_components	nss_minus_full_varex_95_components	robustica_minus_fastica_pca_components	robustica_minus_fastica_ica_components	robustica_minus_fastica_accepted_components	robustica_minus_fastica_rejected_components	nss_fastica_pca_minus_ica_components	nss_robustica_pca_minus_ica_components	nss_fastica_robustica_pca_contract_identical	n0_metrics_identical	n0_mixing_max_absolute_difference	n0_denoised_max_absolute_difference	flag_nss_changes_pca_by_at_least_5	flag_nss_changes_rejected_by_at_least_5	flag_robustica_changes_ica_count_by_at_least_10	flag_robustica_changes_rejected_by_at_least_10	review_reasons
10785	01	sharedreward	1	sub-10785_ses-01_task-sharedreward_run-1	0	255	255	syngo MR E11	ordinary_control	31	31	17	14	33	33	16	17	33	30	19	190	221	33	33	16	17	33	30	19	190	221	33	33	13	20	33	30	19	190	221	0	0	0	0	0	0	0	0	0	0	0	-3	3	0	0	1	1	0.0	0.0	0	0	0	0	
10804	01	sharedreward	2	sub-10804_ses-01_task-sharedreward_run-2	8	255	247	syngo MR E11	nss_count_8_coverage	27	27	19	8	29	29	17	12	29	26	18	206	230	27	27	14	13	27	25	17	201	223	27	21	14	7	27	25	17	201	223	-2	-2	-3	1	-2	-1	-1	-5	-7	0	-6	0	-6	0	6	1				0	0	0	0	
10807	01	sharedreward	2	sub-10807_ses-01_task-sharedreward_run-2	1	255	254	syngo MR E11	high_motion_ordinary_classification	41	41	29	12	47	47	24	23	47	42	28	171	211	43	43	25	18	43	40	25	172	210	43	37	22	15	43	40	25	172	210	-4	-4	1	-5	-4	-2	-3	1	-1	0	-6	-3	-3	0	6	1				0	1	0	0	nss_changes_rejected_by_at_least_5
10913	01	sharedreward	1	sub-10913_ses-01_task-sharedreward_run-1	1	255	254	syngo MR E11	ordinary_control	31	31	18	13	32	32	22	10	32	28	21	184	218	32	32	20	12	32	28	21	184	218	32	27	18	9	32	28	21	184	218	0	0	-2	2	0	0	0	0	0	0	-5	-2	-3	0	5	1				0	0	0	0	
11012	01	sharedreward	1	sub-11012_ses-01_task-sharedreward_run-1	2	255	253	syngo MR E11	ordinary_control	31	31	19	12	31	31	25	6	31	27	18	178	214	31	31	16	15	31	27	17	176	212	31	30	7	23	31	27	17	176	212	0	0	-9	9	0	0	-1	-2	-2	0	-1	-9	8	0	1	1				0	1	0	0	nss_changes_rejected_by_at_least_5
11068	01	sharedreward	1	sub-11068_ses-01_task-sharedreward_run-1	2	255	253	syngo MR E11	ordinary_control	31	31	18	13	37	37	13	24	37	30	20	187	219	31	31	17	14	31	28	17	187	219	31	30	16	14	31	28	17	187	219	-6	-6	4	-10	-6	-2	-3	0	0	0	-1	-1	0	0	1	1				1	1	0	0	nss_changes_pca_by_at_least_5;nss_changes_rejected_by_at_least_5
11072	01	sharedreward	2	sub-11072_ses-01_task-sharedreward_run-2	0	255	255	syngo MR E11	nss_zero_control	31	31	19	12	35	35	22	13	35	30	20	163	206	35	35	22	13	35	30	20	163	206	35	28	14	14	35	30	20	163	206	0	0	0	0	0	0	0	0	0	0	-7	-8	1	0	7	1	1	0.0	0.0	0	0	0	0	
11301	01	sharedreward	2	sub-11301_ses-01_task-sharedreward_run-2	2	255	253	syngo MR E11	ordinary_control	31	31	18	13	35	35	15	20	35	31	20	203	228	32	32	19	13	32	29	17	203	227	32	31	18	13	32	29	17	203	227	-3	-3	4	-7	-3	-2	-3	0	-1	0	-1	-1	0	0	1	1				0	1	0	0	nss_changes_rejected_by_at_least_5
11329	01	sharedreward	1	sub-11329_ses-01_task-sharedreward_run-1	2	255	253	syngo MR E11	ordinary_control	31	31	18	13	32	32	16	16	32	28	20	206	230	31	31	15	16	31	28	20	204	228	31	29	16	13	31	28	20	204	228	-1	-1	-1	0	-1	0	0	-2	-2	0	-2	1	-3	0	2	1				0	0	0	0	
11560	01	sharedreward	2	sub-11560_ses-01_task-sharedreward_run-2	1	255	254	syngo MR XA30	high_rejected_count_high_motion;high_ica_dimensionality	147	147	114	33	152	152	118	34	152	134	88	124	177	156	156	114	42	156	139	93	122	175	156	89	59	30	156	139	93	122	175	4	4	-4	8	4	5	5	-2	-2	0	-67	-55	-12	0	67	1				0	1	1	1	nss_changes_rejected_by_at_least_5;robustica_changes_ica_count_by_at_least_10;robustica_changes_rejected_by_at_least_10
