subject	session	task	run	run_key	nss_count	number_of_original_volumes	number_of_steady_state_volumes	software_versions	selection_reason	historical_pca_components	historical_ica_components	historical_accepted_components	historical_rejected_components	full_fastica_pca_components	full_fastica_ica_components	full_fastica_accepted_components	full_fastica_rejected_components	full_fastica_aic_components	full_fastica_kic_components	full_fastica_mdl_components	full_fastica_varex_90_components	full_fastica_varex_95_components	nss_fastica_pca_components	nss_fastica_ica_components	nss_fastica_accepted_components	nss_fastica_rejected_components	nss_fastica_aic_components	nss_fastica_kic_components	nss_fastica_mdl_components	nss_fastica_varex_90_components	nss_fastica_varex_95_components	nss_robustica_pca_components	nss_robustica_ica_components	nss_robustica_accepted_components	nss_robustica_rejected_components	nss_robustica_aic_components	nss_robustica_kic_components	nss_robustica_mdl_components	nss_robustica_varex_90_components	nss_robustica_varex_95_components	nss_minus_full_pca_components	nss_minus_full_ica_components	nss_minus_full_accepted_components	nss_minus_full_rejected_components	nss_minus_full_aic_components	nss_minus_full_kic_components	nss_minus_full_mdl_components	nss_minus_full_varex_90_components	nss_minus_full_varex_95_components	robustica_minus_fastica_pca_components	robustica_minus_fastica_ica_components	robustica_minus_fastica_accepted_components	robustica_minus_fastica_rejected_components	nss_fastica_pca_minus_ica_components	nss_robustica_pca_minus_ica_components	nss_fastica_robustica_pca_contract_identical	n0_metrics_identical	n0_mixing_max_absolute_difference	n0_denoised_max_absolute_difference	flag_nss_changes_pca_by_at_least_5	flag_nss_changes_rejected_by_at_least_5	flag_robustica_changes_ica_count_by_at_least_10	flag_robustica_changes_rejected_by_at_least_10	review_reasons
10807	01	sharedreward	2	sub-10807_ses-01_task-sharedreward_run-2	1	255	254	syngo MR E11	high_motion_ordinary_classification	41	41	29	12	47	47	24	23	47	42	28	171	211	43	43	25	18	43	40	25	172	210	43	37	22	15	43	40	25	172	210	-4	-4	1	-5	-4	-2	-3	1	-1	0	-6	-3	-3	0	6	1				0	1	0	0	nss_changes_rejected_by_at_least_5
11012	01	sharedreward	1	sub-11012_ses-01_task-sharedreward_run-1	2	255	253	syngo MR E11	ordinary_control	31	31	19	12	31	31	25	6	31	27	18	178	214	31	31	16	15	31	27	17	176	212	31	30	7	23	31	27	17	176	212	0	0	-9	9	0	0	-1	-2	-2	0	-1	-9	8	0	1	1				0	1	0	0	nss_changes_rejected_by_at_least_5
11068	01	sharedreward	1	sub-11068_ses-01_task-sharedreward_run-1	2	255	253	syngo MR E11	ordinary_control	31	31	18	13	37	37	13	24	37	30	20	187	219	31	31	17	14	31	28	17	187	219	31	30	16	14	31	28	17	187	219	-6	-6	4	-10	-6	-2	-3	0	0	0	-1	-1	0	0	1	1				1	1	0	0	nss_changes_pca_by_at_least_5;nss_changes_rejected_by_at_least_5
11301	01	sharedreward	2	sub-11301_ses-01_task-sharedreward_run-2	2	255	253	syngo MR E11	ordinary_control	31	31	18	13	35	35	15	20	35	31	20	203	228	32	32	19	13	32	29	17	203	227	32	31	18	13	32	29	17	203	227	-3	-3	4	-7	-3	-2	-3	0	-1	0	-1	-1	0	0	1	1				0	1	0	0	nss_changes_rejected_by_at_least_5
11560	01	sharedreward	2	sub-11560_ses-01_task-sharedreward_run-2	1	255	254	syngo MR XA30	high_rejected_count_high_motion;high_ica_dimensionality	147	147	114	33	152	152	118	34	152	134	88	124	177	156	156	114	42	156	139	93	122	175	156	89	59	30	156	139	93	122	175	4	4	-4	8	4	5	5	-2	-2	0	-67	-55	-12	0	67	1				0	1	1	1	nss_changes_rejected_by_at_least_5;robustica_changes_ica_count_by_at_least_10;robustica_changes_rejected_by_at_least_10
11976	01	sharedreward	1	sub-11976_ses-01_task-sharedreward_run-1	1	255	254	syngo MR XA60	high_rejected_fraction	78	78	5	73	79	79	10	69	79	71	48	150	198	79	79	7	72	79	71	48	149	197	79	63	4	59	79	71	48	149	197	0	0	-3	3	0	0	0	-1	-1	0	-16	-3	-13	0	16	1				0	0	1	1	robustica_changes_ica_count_by_at_least_10;robustica_changes_rejected_by_at_least_10
10585	01	socialdoors	1	sub-10585_ses-01_task-socialdoors_run-1	1	218	217	syngo MR E11	high_motion_ordinary_classification	21	21	8	13	22	22	11	11	22	19	13	163	189	22	22	16	6	22	19	14	162	188	22	22	9	13	22	19	14	162	188	0	0	5	-5	0	0	1	-1	-1	0	0	-7	7	0	0	1				0	1	0	0	nss_changes_rejected_by_at_least_5
11005	01	socialdoors	1	sub-11005_ses-01_task-socialdoors_run-1	1	218	217	syngo MR E11	high_rejected_count_high_motion	165	165	134	31	165	165	130	35	165	156	126	78	115	164	164	132	32	164	156	125	78	114	164	122	90	32	164	156	125	78	114	-1	-1	2	-3	-1	0	-1	0	-1	0	-42	-42	0	0	42	1				0	0	1	0	robustica_changes_ica_count_by_at_least_10
11526	01	doors	1	sub-11526_ses-01_task-doors_run-1	1	218	217	syngo MR XA60	high_rejected_count_low_motion	41	41	21	20	23	23	12	11	23	18	13	172	194	13	13	6	7	13	10	5	169	192	13	8	5	3	13	10	5	169	192	-10	-10	-6	-4	-10	-8	-8	-3	-2	0	-5	-1	-4	0	5	1				1	0	0	0	nss_changes_pca_by_at_least_5
11560	01	doors	1	sub-11560_ses-01_task-doors_run-1	0	218	218	syngo MR XA30	high_ica_dimensionality	178	178	136	42	117	117	87	30	117	95	53	105	146	117	117	87	30	117	95	53	105	146	117	87	61	26	117	95	53	105	146	0	0	0	0	0	0	0	0	0	0	-30	-26	-4	0	30	1	1	0.0	0.0	0	0	1	0	robustica_changes_ica_count_by_at_least_10
