grouping	software_era	task	session	metric	n	median	q25	q75	p90	p95	p99
session	all	all	01	base_confound_columns	2646	19.0	19.0	20.0	21.0	21.0	22.0
session	all	all	01	base_confound_rank	2646	19.0	19.0	20.0	21.0	21.0	22.0
session	all	all	01	rejected_ica_columns	2646	12.0	9.0	20.0	35.0	48.75	78.0
session	all	all	01	rejected_ica_rank	2646	12.0	9.0	20.0	35.0	48.75	78.0
session	all	all	01	combined_confound_columns	2646	32.0	29.0	39.0	54.0	68.0	96.55000000000018
session	all	all	01	combined_confound_rank	2646	32.0	29.0	39.0	54.0	68.0	96.55000000000018
session	all	all	01	tedana_incremental_rank	2646	12.0	9.0	20.0	35.0	48.75	78.0
session	all	all	01	tedana_incremental_rank_fraction	2646	0.05045871559633028	0.03571428571428571	0.08235294117647059	0.14220183486238533	0.19704292267365664	0.3073394495412844
session	all	all	01	combined_nuisance_rank_fraction	2646	0.12941176470588237	0.11428571428571428	0.16071428571428573	0.22247899159663864	0.27450980392156865	0.38333333333333336
session	all	all	01	residual_df_before_task	2646	210.0	190.0	227.0	247.0	250.0	253.0
session	all	all	02	base_confound_columns	103	19.0	18.0	19.0	20.0	20.0	20.980000000000004
session	all	all	02	base_confound_rank	103	19.0	18.0	19.0	20.0	20.0	20.980000000000004
session	all	all	02	rejected_ica_columns	103	25.0	17.5	38.0	58.599999999999994	70.69999999999997	95.68000000000006
session	all	all	02	rejected_ica_rank	103	25.0	17.5	38.0	58.599999999999994	70.69999999999997	95.68000000000006
session	all	all	02	combined_confound_columns	103	43.0	36.5	57.0	76.6	88.69999999999997	114.64000000000007
session	all	all	02	combined_confound_rank	103	43.0	36.5	57.0	76.6	88.69999999999997	114.64000000000007
session	all	all	02	tedana_incremental_rank	103	25.0	17.5	38.0	58.599999999999994	70.69999999999997	95.68000000000006
session	all	all	02	tedana_incremental_rank_fraction	103	0.1125	0.07649082568807339	0.16381880733944953	0.2640137614678898	0.3157339449541283	0.39933944954128453
session	all	all	02	combined_nuisance_rank_fraction	103	0.19583333333333333	0.1559633027522936	0.24468654434250764	0.34506880733944945	0.39103211009174305	0.4784824159021408
session	all	all	02	residual_df_before_task	103	182.0	170.0	192.0	203.8	206.0	209.0
software_era	E11	all	all	base_confound_columns	1556	20.0	19.0	20.0	21.0	21.0	22.0
