subject	session	task	run	events_path	events_sha256	expected_trials	response_trials	trial_count_complete	misses	miss_fraction	response_fraction	first_miss_trial	last_miss_trial	longest_miss_streak	longest_miss_streak_start_trial	terminal_miss_streak	terminal_miss_start_trial	terminal_miss_start_onset_sec	terminal_affected_duration_sec	preterminal_trials	preterminal_misses	preterminal_miss_fraction	retained_trial_fraction_if_terminal_trimmed	overall_miss_rule_failed	terminal_failure_candidate	salvage_review_candidate	review_status	review_reasons	miss_pattern
10317	01	doors	1	bids/sub-10317/ses-01/func/sub-10317_ses-01_task-doors_run-1_events.tsv	d7b4ac3dd9f0382ff814789a84c8c0120778c1ddb275f11242de10c9acc0c8d1	40	40	true	0	0	1			0		0				40	0	0	1	false	false	false	pass		........................................
10317	01	sharedreward	1	bids/sub-10317/ses-01/func/sub-10317_ses-01_task-sharedreward_run-1_events.tsv	96db8618b8106a89a5061fc6872f767284aba2c9496ac74985bb829aba425e9f	54	54	true	0	0	1			0		0				54	0	0	1	false	false	false	pass		......................................................
10317	01	sharedreward	2	bids/sub-10317/ses-01/func/sub-10317_ses-01_task-sharedreward_run-2_events.tsv	6238dac2c29082154d6a2c26984281e6447fbd5a902b7b364c9f4538d84135bb	54	54	true	0	0	1			0		0				54	0	0	1	false	false	false	pass		......................................................
10317	01	socialdoors	1	bids/sub-10317/ses-01/func/sub-10317_ses-01_task-socialdoors_run-1_events.tsv	c29255100be5219b3bce17ecedeaa95956baf111af3940fae3d2e5c952b07176	40	40	true	0	0	1			0		0				40	0	0	1	false	false	false	pass		........................................
10317	01	trust	1	bids/sub-10317/ses-01/func/sub-10317_ses-01_task-trust_run-1_events.tsv	eb03ebbd2b1497a2dd22c2e525fcdc9c40775e46dfb62828a5f6cccb5834ea15	42	42	true	0	0	1			0		0				42	0	0	1	false	false	false	pass		..........................................
10317	01	ugr	1	bids/sub-10317/ses-01/func/sub-10317_ses-01_task-ugr_run-1_events.tsv	a4883a4c2e15b244db831897359165483f81e8ef23285cdae32e6a579acf9c54	48	48	true	0	0	1			0		0				48	0	0	1	false	false	false	pass		................................................
10317	01	ugr	2	bids/sub-10317/ses-01/func/sub-10317_ses-01_task-ugr_run-2_events.tsv	beda28b43b68d865e10e104c4e02ff5bd2cd8fd1aed69e3a950510310d23ebcc	48	48	true	0	0	1			0		0				48	0	0	1	false	false	false	pass		................................................
10369	01	doors	1	bids/sub-10369/ses-01/func/sub-10369_ses-01_task-doors_run-1_events.tsv	70653c3845cc6c932aadf4f0e0f486955eaf47a7766e3eeae4612e357a629322	40	40	true	0	0	1			0		0				40	0	0	1	false	false	false	pass		........................................
10369	01	sharedreward	1	bids/sub-10369/ses-01/func/sub-10369_ses-01_task-sharedreward_run-1_events.tsv	c47dc10d3fdc57c51327fe99927ff280088cbf1cad26c1997148031ef81d0fe9	54	54	true	0	0	1			0		0				54	0	0	1	false	false	false	pass		......................................................
10369	01	sharedreward	2	bids/sub-10369/ses-01/func/sub-10369_ses-01_task-sharedreward_run-2_events.tsv	125ec16bf03e590df2e1b82a641af0870133a705a5902da6f0f9839ba926357d	54	54	true	0	0	1			0		0				54	0	0	1	false	false	false	pass		......................................................
