subject	session	task	run	events_path	events_sha256	expected_trials	response_trials	trial_count_complete	misses	miss_fraction	response_fraction	first_miss_trial	last_miss_trial	longest_miss_streak	longest_miss_streak_start_trial	terminal_miss_streak	terminal_miss_start_trial	terminal_miss_start_onset_sec	terminal_affected_duration_sec	preterminal_trials	preterminal_misses	preterminal_miss_fraction	retained_trial_fraction_if_terminal_trimmed	overall_miss_rule_failed	terminal_failure_candidate	salvage_review_candidate	review_status	review_reasons	miss_pattern
10608	01	sharedreward	2	bids/sub-10608/ses-01/func/sub-10608_ses-01_task-sharedreward_run-2_events.tsv	c987e130cc1255f4f6bfaa2e9051ed8b501b2d15892498ff0d320736c56a26bb	54	54	true	19	0.351852	0.648148	36	54	19	36	19	36	273.06226	129.52356	35	0	0	0.648148	true	true	true	review	overall_miss_fraction_threshold;terminal_miss_streak	...................................MMMMMMMMMMMMMMMMMMM
10777	01	sharedreward	2	bids/sub-10777/ses-01/func/sub-10777_ses-01_task-sharedreward_run-2_events.tsv	143011222da36513fac412d52e68fecdd41d3d404b291c629beda563dd99dba2	54	54	true	7	0.12963	0.87037	48	54	7	48	7	48	356.80728	45.69718	47	0	0	0.87037	false	true	true	review	terminal_miss_streak	...............................................MMMMMMM
10800	01	socialdoors	1	bids/sub-10800/ses-01/func/sub-10800_ses-01_task-socialdoors_run-1_events.tsv	59d144463e28d72d8cd9792875bca699953bf2ed9fef21d653c41266f8fad847	40	40	true	11	0.275	0.725	17	40	2	27	1	40	326.875335	4.58325	39	10	0.25641	0.975	true	false	false	review	overall_miss_fraction_threshold	................M...M...M.MM.MM...M.MM.M
10809	01	sharedreward	1	bids/sub-10809/ses-01/func/sub-10809_ses-01_task-sharedreward_run-1_events.tsv	d46594a530e277fbc2ba7248013059c94fe66e9e24f113232c5b83685c82aaa4	54	54	true	20	0.37037	0.62963	1	41	4	21	0				54	20	0.37037	1	true	false	false	review	overall_miss_fraction_threshold	M..M.MM....MM.MM.MM.MMMM.MMMM.......M...M.............
10827	01	trust	1	bids/sub-10827/ses-01/func/sub-10827_ses-01_task-trust_run-1_events.tsv	ed91d8a733719cd4ff64e6e26bcece67ac224a8690bd843997580ce0b5981b97	42	42	true	13	0.309524	0.690476	7	42	2	34	2	41	422.50122	14.3154	40	11	0.275	0.952381	true	false	false	review	overall_miss_fraction_threshold	......M.....M...M..M..M..M...M...MM.MM..MM
10827	01	trust	2	bids/sub-10827/ses-01/func/sub-10827_ses-01_task-trust_run-2_events.tsv	50844f9ee5d1c18729cb2577d4973a58da0ab5a1b1186b2b03106f8e09db793a	42	42	true	15	0.357143	0.642857	2	39	2	11	0				42	15	0.357143	1	true	false	false	review	overall_miss_fraction_threshold	.M..M.....MM...M..MM..MM.M..M..M...MM.M...
10836	01	ugr	1	bids/sub-10836/ses-01/func/sub-10836_ses-01_task-ugr_run-1_events.tsv	cbb6b38e1a00159d37b192be23329f7afa4017d2ddd25b20385bb76fa9209007	48	34	false	6	0.176471	0.823529	24	34	4	28	1	34	257.16586	3.75064	33	5	0.151515	0.970588	false	false	false	review	unexpected_trial_count	.......................M...MMMM..M
10908	01	socialdoors	1	bids/sub-10908/ses-01/func/sub-10908_ses-01_task-socialdoors_run-1_events.tsv	d3c397d4f71f1a4b4f7dfe6d5a5a0f1233221934252f3be238995bbc274155bf	40	40	true	8	0.2	0.8	33	40	8	33	8	33	267.616747	63.666205	32	0	0	0.8	false	true	true	review	terminal_miss_streak	................................MMMMMMMM
10954	01	doors	1	bids/sub-10954/ses-01/func/sub-10954_ses-01_task-doors_run-1_events.tsv	a0d2225eca61a2953e30cde0e95880fc8353271288143cfed2dc832cc9e5e906	40	40	true	10	0.25	0.75	6	40	3	36	1	40	325.821609	4.583291	39	9	0.230769	0.975	true	false	false	review	overall_miss_fraction_threshold	.....M......M.............M.M.M..M.MMM.M
10954	01	sharedreward	2	bids/sub-10954/ses-01/func/sub-10954_ses-01_task-sharedreward_run-2_events.tsv	f8384d4c520bb0a4ea2d5a7c35545d326a3de452ed4e5991fdf353060c92d130	54	54	true	15	0.277778	0.722222	8	53	2	14	0				54	15	0.277778	1	true	false	false	review	overall_miss_fraction_threshold	.......M.....MM.M......M...MM.....M....M.MM.M.M....MM.
10954	01	socialdoors	1	bids/sub-10954/ses-01/func/sub-10954_ses-01_task-socialdoors_run-1_events.tsv	170baad3189afed00cb8de23a392956e2ef020fba2825df8360eb3856996b5db	40	40	true	12	0.3	0.7	3	39	4	36	0				40	12	0.3	1	true	false	false	review	overall_miss_fraction_threshold	..M.........M..M..M....M....M.MM...MMMM.
10954	01	trust	1	bids/sub-10954/ses-01/func/sub-10954_ses-01_task-trust_run-1_events.tsv	c80ecb744d51cc6b44d619f74321b86d08678c71e1962765c8fe64724c8e3055	42	42	true	13	0.309524	0.690476	6	41	4	34	0				42	13	0.309524	1	true	false	false	review	overall_miss_fraction_threshold	.....M....M..........M.M....MM.M.MMMM..MM.
10954	01	trust	2	bids/sub-10954/ses-01/func/sub-10954_ses-01_task-trust_run-2_events.tsv	ecb1ab1c21506609a75209f02a1b85d130d523c41e67cd3d8fc9fdf3ca23ce58	42	42	true	12	0.285714	0.714286	1	41	4	38	0				42	12	0.285714	1	true	false	false	review	overall_miss_fraction_threshold	M........M........M..M.MMM.......M...MMMM.
10954	01	ugr	1	bids/sub-10954/ses-01/func/sub-10954_ses-01_task-ugr_run-1_events.tsv	b9827a7f48a2317a30bae7b440b23de9804ad046b21372990fe9682ed4afe2c0	48	48	true	15	0.3125	0.6875	9	46	4	30	0				48	15	0.3125	1	true	false	false	review	overall_miss_fraction_threshold	........M.M.....M....M...M.M.MMMM.......M.MMMM..
11125	01	doors	1	bids/sub-11125/ses-01/func/sub-11125_ses-01_task-doors_run-1_events.tsv	60172901fb0b89dd47fdba3213aea26af9bb6c6f7bc7f33590bed91bd4748d6d	40	40	true	40	1	0	1	40	40	1	40	1	0.601871	331.015232	0	0	1	0	true	true	false	review	overall_miss_fraction_threshold;terminal_miss_streak	MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM
11125	01	sharedreward	2	bids/sub-11125/ses-01/func/sub-11125_ses-01_task-sharedreward_run-2_events.tsv	29239b9338e18e3dc8d8502d0c6bbaba674ca56af7d075bbf392140cb7e86454	54	54	true	23	0.425926	0.574074	8	54	8	47	8	47	348.4971	53.9723	46	15	0.326087	0.851852	true	true	false	review	overall_miss_fraction_threshold;terminal_miss_streak	.......M...M..M.......MM.M.MMM....M..MMMMM....MMMMMMMM
11125	01	socialdoors	1	bids/sub-11125/ses-01/func/sub-11125_ses-01_task-socialdoors_run-1_events.tsv	4954cfc1cc78dfc18a9dcbfd10de543cfbb2eb03bd6d0f79e5c98c96ef057ea1	40	40	true	40	1	0	1	40	40	1	40	1	0.642679	332.248492	0	0	1	0	true	true	false	review	overall_miss_fraction_threshold;terminal_miss_streak	MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM
11125	01	trust	2	bids/sub-11125/ses-01/func/sub-11125_ses-01_task-trust_run-2_events.tsv	77d45c62d6735c754c724e56029347a711c6f11c293ef8e483248daddc7dca83	42	42	true	14	0.333333	0.666667	3	41	4	16	0				42	14	0.333333	1	true	false	false	review	overall_miss_fraction_threshold	..MM.....M...M.MMMM....M..M....M....MM..M.
11126	01	trust	2	bids/sub-11126/ses-01/func/sub-11126_ses-01_task-trust_run-2_events.tsv	840738e15227cae9aed58773f45eb95dc482affea3855b43dcd33ebdd5d20fc2	42	42	true	11	0.261905	0.738095	1	42	1	1	1	42	435.40393	3.00807	41	10	0.243902	0.97619	true	false	false	review	overall_miss_fraction_threshold	M...M......M...M.M.M..M......M.....M...M.M
