subject	session	task	run	run_key	software_versions	software_era	nss_count	number_of_original_volumes	brain_mask_voxels	mean_fd	pca_components	aic_components	kic_components	mdl_components	selected_fraction_possible	selected_pca_variance	pca_top10_variance	pca_effective_rank	echo_mean_signal_slope	echo_tsnr_slope	echo_standardized_dvars_slope	audit_status	audit_issues
10317	01	doors	1	sub-10317_ses-01_task-doors_run-1	syngo MR E11	E11	1	218	75530	0.1537769787576623	16	16	14	11	0.07373271889400922	0.3970853301794771	0.36199093308237684	6.979604720540864	-72143.94467964668	-327.7230851693027	-1.8187047717472642	complete	
10317	01	sharedreward	1	sub-10317_ses-01_task-sharedreward_run-1	syngo MR E11	E11	1	255	75619	0.16606493572570069	18	18	15	11	0.07086614173228346	0.4740376614208114	0.43595619729886953	6.997231266763292	-73513.61932179853	-309.2012015941963	-0.21613087407074366	complete	
10317	01	sharedreward	2	sub-10317_ses-01_task-sharedreward_run-2	syngo MR E11	E11	1	255	75797	0.17536290710527611	17	17	16	12	0.06692913385826772	0.4526080848600993	0.4138006296420118	5.880872024758586	-72807.25378281248	-305.7154782678067	-0.5331077521774957	complete	
10317	01	socialdoors	1	sub-10317_ses-01_task-socialdoors_run-1	syngo MR E11	E11	0	218	75447	0.15667525498164875	18	18	17	10	0.08256880733944955	0.40463324569077325	0.35742208830078864	8.523478496717974	-72111.12227487356	-321.13337751936996	-1.959045815571402	complete	
10317	01	trust	1	sub-10317_ses-01_task-trust_run-1	syngo MR E11	E11	0	280	75521	0.18994925418094638	19	19	17	12	0.06785714285714285	0.43464280348246453	0.3890499467610945	8.288005658563444	-73762.50758295991	-303.1075268758759	-0.4057357597647489	complete	
10317	01	ugr	1	sub-10317_ses-01_task-ugr_run-1	syngo MR E11	E11	2	240	75401	0.18225318138885677	17	17	15	12	0.07142857142857142	0.3790560325517719	0.3359205202766879	8.769996205969932	-72784.23314990786	-333.0183688651246	-2.056244401836699	complete	
10317	01	ugr	2	sub-10317_ses-01_task-ugr_run-2	syngo MR E11	E11	2	240	75251	0.15356272145498251	17	17	16	10	0.07142857142857142	0.35180345434646804	0.3088686463399162	10.619193426950444	-72437.45369623092	-332.5920976365614	-2.0682897078701727	complete	
10369	01	doors	1	sub-10369_ses-01_task-doors_run-1	syngo MR E11	E11	1	218	75414	0.09473449093416858	15	15	13	8	0.06912442396313365	0.3489786635307742	0.31934746638194833	6.689876265713202	-80576.77001300686	-320.11322553586365	1.8692730997149543	complete	
10369	01	sharedreward	1	sub-10369_ses-01_task-sharedreward_run-1	syngo MR E11	E11	3	255	75375	0.10283652476853634	17	17	13	9	0.06746031746031746	0.40650620861449055	0.37251976610841336	5.317902157374696	-77071.45402127654	-297.598707528225	1.844685467209936	complete	
10369	01	sharedreward	2	sub-10369_ses-01_task-sharedreward_run-2	syngo MR E11	E11	3	255	75246	0.12627894635924342	19	19	16	10	0.07539682539682539	0.3993405978990369	0.3510993240045873	8.632757650063212	-77139.70326562534	-303.41659634853727	1.6271911968064743	complete	
10369	01	socialdoors	1	sub-10369_ses-01_task-socialdoors_run-1	syngo MR E11	E11	1	218	75166	0.10624767458621519	18	18	14	10	0.08294930875576037	0.38390104776806366	0.3376018074596354	8.597952197797067	-77177.9624218167	-305.4727311386652	1.3260690738816558	complete	
10369	01	trust	1	sub-10369_ses-01_task-trust_run-1	syngo MR E11	E11	2	280	75540	0.13325254238698475	20	20	17	10	0.07194244604316546	0.3982682165152843	0.3481113998822326	9.430014135166514	-76589.34236890527	-303.7544132659173	1.0882216225209689	complete	
10369	01	ugr	1	sub-10369_ses-01_task-ugr_run-1	syngo MR E11	E11	1	240	74998	0.24076965631575309	26	26	23	17	0.1087866108786611	0.5606378995119443	0.4760387156904411	10.401051332872827	-80952.0743995189	-306.9622984817134	0.8283614663892829	complete	
10369	01	ugr	2	sub-10369_ses-01_task-ugr_run-2	syngo MR E11	E11	2	240	75288	0.10729806131286158	16	16	14	9	0.06722689075630252	0.3266806095798636	0.29173487112194085	9.105031302787667	-80627.6237710734	-322.26929748862483	1.6306218192917246	complete	
10402	01	doors	1	sub-10402_ses-01_task-doors_run-1	syngo MR E11	E11	1	218	77904	0.19570943049955422	21	21	19	13	0.0967741935483871	0.42296355487910403	0.35180905564709275	11.251089012036509	-71759.66389437071	-288.77143635043916	0.6464031666524775	complete	
10402	01	sharedreward	1	sub-10402_ses-01_task-sharedreward_run-1	syngo MR E11	E11	0	255	78615	0.17269544844619278	18	18	15	12	0.07058823529411765	0.3250124070856809	0.2772606590205089	10.108166183424984	-73226.47057479463	-283.9740036111779	0.5720902075854158	complete	
10402	01	sharedreward	2	sub-10402_ses-01_task-sharedreward_run-2	syngo MR E11	E11	2	255	78443	0.16331915280672402	17	17	15	12	0.06719367588932806	0.4217660348949151	0.3843022545647156	6.437764194330049	-73294.37964077394	-278.19176897516934	0.592248246540161	complete	
