task	run	echo	parameter	status	eras_present	e11_unique_values	xa30_unique_values	xa60_unique_values	e11_n_values	xa30_n_values	xa60_n_values
doors	1	1	AcquisitionDuration	varies_within_era	XA30;XA60		403.5;403.502	403.5;403.502;418.5;418.502	0	2	4
doors	1	1	AcquisitionMatrixPE	identical_across_eras	E11;XA30;XA60	80	80	80	1	1	1
doors	1	1	AcquisitionNumber	identical_across_eras	E11;XA30;XA60	1	1	1	1	1	1
doors	1	1	BandwidthPerPixelPhaseEncode	identical_across_eras	E11;XA30;XA60	51.02	51.02	51.02	1	1	1
doors	1	1	BaseResolution	identical_across_eras	E11;XA30;XA60	80	80	80	1	1	1
doors	1	1	BidsGuess	varies_within_era	E11;XA30;XA60	"[""func"",""_acq-epfid2p2m3_dir-AP_run-11_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-14_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-15_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-17_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-18_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-20_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-21_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-23_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-24_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-25_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-26_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-27_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-28_echo-1_bold""];[""func"",""_acq-epfid2p2m3_dir-AP_run-29_echo-1_bold""]"	"[""func"",""_acq-epfid2p2_dir-AP_run-11_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-17_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-29_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-34_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-35_echo-1_bold""]"	"[""func"",""_acq-epfid2p2_dir-AP_run-10_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-13_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-17_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-19_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-21_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-23_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-24_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-25_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-29_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-30_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-31_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-32_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-33_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-34_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-39_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-AP_run-9_echo-1_bold""];[""func"",""_acq-epfid2p2_dir-RL_run-17_echo-1_bold""]"	14	5	17
doors	1	1	BodyPartExamined	identical_across_eras	E11;XA30;XA60	"""BRAIN"""	"""BRAIN"""	"""BRAIN"""	1	1	1
doors	1	1	CoilCombinationMethod	identical_across_eras	E11;XA30;XA60	"""Sum of Squares"""	"""Sum of Squares"""	"""Sum of Squares"""	1	1	1
doors	1	1	CoilString	identical_across_eras	XA30;XA60		"""HeadNeck_20"""	"""HeadNeck_20"""	0	1	1
doors	1	1	ConsistencyInfo	insufficient_cross_era_coverage	E11	"""N4_VE11E_LATEST_20181129"""			1	0	0
doors	1	1	ConversionSoftware	identical_across_eras	E11;XA30;XA60	"""dcm2niix"""	"""dcm2niix"""	"""dcm2niix"""	1	1	1
