task	run	echo	parameter	status	eras_present	e11_unique_values	xa30_unique_values	xa60_unique_values	e11_n_values	xa30_n_values	xa60_n_values
doors	1	dicom	AcquisitionContrast	identical_across_eras	XA30;XA60		"""UNKNOWN"""	"""UNKNOWN"""	0	1	1
doors	1	dicom	AcquisitionDuration	differs_systematically_by_era	XA30;XA60		"""403.5"""	"""403.502"""	0	1	1
doors	1	dicom	AcquisitionMatrix	insufficient_cross_era_coverage	E11	"""[80, 0, 0, 80]"""			1	0	0
doors	1	dicom	AngioFlag	insufficient_cross_era_coverage	E11	"""N"""			1	0	0
doors	1	dicom	BitsAllocated	identical_across_eras	E11;XA30;XA60	"""16"""	"""16"""	"""16"""	1	1	1
doors	1	dicom	BitsStored	identical_across_eras	E11;XA30;XA60	"""16"""	"""16"""	"""16"""	1	1	1
doors	1	dicom	BloodSignalNulling	identical_across_eras	XA30;XA60		"""NO"""	"""NO"""	0	1	1
doors	1	dicom	Columns	differs_systematically_by_era	E11;XA30;XA60	"""640"""	"""80"""	"""80"""	1	1	1
doors	1	dicom	ComplexImageComponent	identical_across_eras	XA30;XA60		"""MAGNITUDE"""	"""MAGNITUDE"""	0	1	1
doors	1	dicom	EchoNumbers	identical_across_eras	E11;XA60	"""1"""		"""1"""	1	0	1
doors	1	dicom	EchoPlanarPulseSequence	identical_across_eras	XA30;XA60		"""YES"""	"""YES"""	0	1	1
doors	1	dicom	EchoPulseSequence	identical_across_eras	XA30;XA60		"""GRADIENT"""	"""GRADIENT"""	0	1	1
doors	1	dicom	EchoTime	insufficient_cross_era_coverage	E11	"""13.8"""			1	0	0
doors	1	dicom	EchoTrainLength	identical_across_eras	E11;XA30;XA60	"""34"""	"""34"""	"""34"""	1	1	1
doors	1	dicom	FlipAngle	identical_across_eras	E11;XA30;XA60	"""50"""	"""50"""	"""50"""	1	1	1
doors	1	dicom	FlowCompensation	identical_across_eras	XA30;XA60		"""NONE"""	"""NONE"""	0	1	1
doors	1	dicom	FrameAcquisitionDuration	identical_across_eras	XA30;XA60		"""402000.0"""	"""402000.0"""	0	1	1
doors	1	dicom	FrameType	identical_across_eras	XA30;XA60		"""['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE']"""	"""['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE']"""	0	1	1
doors	1	dicom	GeometryOfKSpaceTraversal	identical_across_eras	XA30;XA60		"""RECTILINEAR"""	"""RECTILINEAR"""	0	1	1
doors	1	dicom	GradientEchoTrainLength	identical_across_eras	XA30;XA60		"""34"""	"""34"""	0	1	1
doors	1	dicom	HighBit	identical_across_eras	E11;XA30;XA60	"""15"""	"""15"""	"""15"""	1	1	1
doors	1	dicom	ImageType	differs_systematically_by_era	E11;XA30;XA60	"""['ORIGINAL', 'PRIMARY', 'M', 'MB', 'TE1', 'ND', 'NORM', 'MOSAIC']"""	"""['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE']"""	"""['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE']"""	1	1	1
doors	1	dicom	ImagedNucleus	insufficient_cross_era_coverage	E11	"""1H"""			1	0	0
doors	1	dicom	ImagingFrequency	insufficient_cross_era_coverage	E11	"""123.255811"""			1	0	0
doors	1	dicom	InPlanePhaseEncodingDirection	differs_systematically_by_era	E11;XA30;XA60	"""COL"""	"""COLUMN"""	"""COLUMN"""	1	1	1
doors	1	dicom	InversionRecovery	identical_across_eras	XA30;XA60		"""NO"""	"""NO"""	0	1	1
doors	1	dicom	KSpaceFiltering	identical_across_eras	XA30;XA60		"""NONE"""	"""NONE"""	0	1	1
doors	1	dicom	LossyImageCompression	identical_across_eras	XA30;XA60		"""00"""	"""00"""	0	1	1
doors	1	dicom	MRAcquisitionFrequencyEncodingSteps	identical_across_eras	XA30;XA60		"""80"""	"""80"""	0	1	1
doors	1	dicom	MRAcquisitionPhaseEncodingStepsInPlane	identical_across_eras	XA30;XA60		"""80"""	"""80"""	0	1	1
doors	1	dicom	MRAcquisitionType	identical_across_eras	E11;XA30;XA60	"""2D"""	"""2D"""	"""2D"""	1	1	1
doors	1	dicom	MagneticFieldStrength	identical_across_eras	E11;XA30;XA60	"""3"""	"""3"""	"""3"""	1	1	1
doors	1	dicom	MagnetizationTransfer	identical_across_eras	XA30;XA60		"""NONE"""	"""NONE"""	0	1	1
doors	1	dicom	Manufacturer	differs_systematically_by_era	E11;XA30;XA60	"""SIEMENS"""	"""Siemens Healthineers"""	"""Siemens Healthineers"""	1	1	1
doors	1	dicom	ManufacturerModelName	differs_systematically_by_era	E11;XA30;XA60	"""Prisma"""	"""MAGNETOM Prisma"""	"""MAGNETOM Prisma"""	1	1	1
doors	1	dicom	Modality	identical_across_eras	E11;XA30;XA60	"""MR"""	"""MR"""	"""MR"""	1	1	1
doors	1	dicom	MultiPlanarExcitation	identical_across_eras	XA30;XA60		"""NO"""	"""NO"""	0	1	1
doors	1	dicom	NumberOfAverages	identical_across_eras	E11;XA30;XA60	"""1"""	"""1"""	"""1"""	1	1	1
doors	1	dicom	NumberOfFrames	identical_across_eras	XA30;XA60		"""51"""	"""51"""	0	1	1
doors	1	dicom	NumberOfKSpaceTrajectories	identical_across_eras	XA30;XA60		"""1"""	"""1"""	0	1	1
