subject	task	run	first_session	second_session	first_era	second_era	first_pca_components	first_selected_fraction_possible	first_selected_pca_variance	first_brain_mask_voxels	first_mean_fd	first_echo_mean_signal_slope	first_echo_tsnr_slope	first_echo_standardized_dvars_slope	second_pca_components	second_selected_fraction_possible	second_selected_pca_variance	second_brain_mask_voxels	second_mean_fd	second_echo_mean_signal_slope	second_echo_tsnr_slope	second_echo_standardized_dvars_slope	second_minus_first_pca_components	second_minus_first_selected_fraction_possible	second_minus_first_selected_pca_variance	second_minus_first_brain_mask_voxels	second_minus_first_mean_fd	second_minus_first_echo_mean_signal_slope	second_minus_first_echo_tsnr_slope	second_minus_first_echo_standardized_dvars_slope
10418	doors	1	01	02	E11	XA30	16	0.07582938388625593	0.37822493372003135	70119	0.14195168903302041	-67048.61468970637	-314.77657611783377	-2.924869829861001	24	0.1111111111111111	0.49483312564167686	69829	0.10749311840014548	-115721.84550566447	-519.0993525624153	-1.5426348760449422	8.0	0.035281727224855175	0.11660819192164551	-290.0	-0.03445857063287493	-48673.2308159581	-204.32277644458156	1.3822349538160588
10418	socialdoors	1	01	02	E11	XA30	16	0.07373271889400922	0.3587690430073768	70269	0.1242757673573375	-67128.75011722939	-312.7096006149249	-2.9641130772027253	22	0.10185185185185185	0.4759144104150251	69826	0.10751930588404683	-115773.11432355912	-515.2231997526937	-1.3880094245229189	6.0	0.02811913295784263	0.1171453674076483	-443.0	-0.01675646147329067	-48644.36420632973	-202.51359913776884	1.5761036526798065
10418	ugr	1	01	02	E11	XA30	15	0.06302521008403361	0.4272065162204729	70126	0.13400968295516882	-67668.0347911432	-315.2121300036113	-2.596953055767536	22	0.09243697478991597	0.410290395712486	69828	0.10432040775121958	-116429.34142144061	-524.9084266182455	-1.1554758305037318	7.0	0.02941176470588236	-0.01691612050798691	-298.0	-0.029689275203949247	-48761.306630297404	-209.69629661463415	1.4414772252638042
10418	ugr	2	01	02	E11	XA30	15	0.06276150627615062	0.3704638795341764	70270	0.12922623168870548	-66990.10981771038	-311.2095851103714	-2.768570236636277	24	0.10084033613445378	0.5083647835217328	69740	0.11144285176295918	-116473.34424066522	-528.58353223125	-1.7202365099893273	9.0	0.03807882985830316	0.13790090398755633	-530.0	-0.0177833799257463	-49483.23442295483	-217.37394712087865	1.04833372664695
10462	doors	1	01	02	E11	XA60	15	0.06976744186046512	0.3673380266622864	93037	0.12414357728989926	-71898.3478486139	-304.5311183547299	-2.4987100336998376	21	0.0963302752293578	0.49589588437144705	89904	0.18069793700370135	-266762.2818492804	-608.6933938728032	6.016291751127636	6.0	0.026562833368892688	0.12855785770916067	-3133.0	0.056554359713802085	-194863.9340006665	-304.1622755180733	8.515001784827474
10462	socialdoors	1	01	02	E11	XA60	18	0.08256880733944955	0.42451070217736536	92561	0.14747946242779836	-72123.97285708578	-301.7096221891094	-2.702386491698336	23	0.10550458715596331	0.5438068274538416	92165	0.18253559621728901	-263226.44548055244	-593.877473368093	5.139217032633402	5.0	0.022935779816513763	0.1192961252764762	-396.0	0.03505613378949066	-191102.47262346666	-292.1678511789836	7.841603524331738
10462	ugr	1	01	02	E11	XA60	20	0.08368200836820083	0.34210708184592975	92877	0.11982403669747099	-72475.82472199644	-308.8987849986981	-2.8556488955985135	82	0.3416666666666667	0.8411899556882548	91915	0.28791947039166815	-266591.240403944	-466.27498673403966	4.090130537022586	62.0	0.25798465829846584	0.4990828738423251	-962.0	0.16809543369419716	-194115.41568194755	-157.37620173534157	6.9457794326211
10462	ugr	2	01	02	E11	XA60	24	0.1	0.3989233426206814	92942	0.15357450188860472	-72143.97152518579	-306.1523150589134	-2.3938848182429853	26	0.1087866108786611	0.5866659777360245	92042	0.22040725663383751	-263883.7743174548	-568.4619256874795	4.633248166478591	2.0	0.008786610878661089	0.18774263511534306	-900.0	0.06683275474523279	-191739.80279226898	-262.3096106285661	7.027132984721576
10541	doors	1	01	02	E11	XA60	41	0.1889400921658986	0.6753195941687683	81319	0.45946431952710565	-71513.27055083492	-274.9228451461159	0.3817235768629052	83	0.3824884792626728	0.8595801089447037	82019	0.28918182741119547	-260090.9006407172	-388.9384846478262	7.591536940350019	42.0	0.19354838709677422	0.1842605147759354	700.0	-0.17028249211591018	-188577.6300898823	-114.01563950171033	7.209813363487114
10541	socialdoors	1	01	02	E11	XA60	29	0.13425925925925927	0.6028852932596307	81537	0.35373833130970117	-71774.30934959208	-282.9247905536202	1.1972986175237088	88	0.4036697247706422	0.852892512525674	81452	0.35140214583018442	-264163.244677195	-475.8493870273257	6.70005437101061	59.0	0.2694104655113829	0.2500072192660433	-85.0	-0.0023361854795167503	-192388.9353276029	-192.9245964737055	5.502755753486902
