task	run	software_era	run_key	series_number	mapping_status
doors	1	E11	sub-10950_ses-01_task-doors_run-1	14	mapped
doors	1	XA30	sub-11532_ses-01_task-doors_run-1	29	mapped
doors	1	XA60	sub-11772_ses-01_task-doors_run-1	17	mapped
sharedreward	1	E11	sub-10956_ses-01_task-sharedreward_run-1	14	mapped
sharedreward	1	XA30	sub-11532_ses-01_task-sharedreward_run-1	17	mapped
sharedreward	1	XA60	sub-11823_ses-01_task-sharedreward_run-1	17	mapped
sharedreward	2	E11	sub-10954_ses-01_task-sharedreward_run-2	23	mapped
sharedreward	2	XA30	sub-11532_ses-01_task-sharedreward_run-2	21	mapped
sharedreward	2	XA60	sub-11828_ses-01_task-sharedreward_run-2	21	mapped
socialdoors	1	E11	sub-10950_ses-01_task-socialdoors_run-1	17	mapped
socialdoors	1	XA30	sub-11532_ses-01_task-socialdoors_run-1	25	mapped
socialdoors	1	XA60	sub-11772_ses-01_task-socialdoors_run-1	21	mapped
trust	1	E11	sub-10954_ses-01_task-trust_run-1	26	mapped
trust	1	XA30	sub-11532_ses-01_task-trust_run-1	9	mapped
trust	1	XA60	sub-11823_ses-01_task-trust_run-1	9	mapped
trust	2	E11	sub-10958_ses-01_task-trust_run-2	29	mapped
trust	2	XA30	sub-11532_ses-01_task-trust_run-2	13	mapped
trust	2	XA60	sub-11828_ses-01_task-trust_run-2	13	mapped
ugr	1	E11	sub-10952_ses-01_task-ugr_run-1	8	mapped
ugr	1	XA30	sub-11532_ses-01_task-ugr_run-1	33	mapped
ugr	1	XA60	sub-11773_ses-01_task-ugr_run-1	9	mapped
ugr	2	E11	sub-10956_ses-01_task-ugr_run-2	29	mapped
ugr	2	XA30	sub-11532_ses-01_task-ugr_run-2	37	mapped
ugr	2	XA60	sub-11774_ses-01_task-ugr_run-2	13	mapped
