paradigm	metric	software_era	n	mean	std	q1	median	q3	minimum	maximum	cohort_fence	outlier_direction	cohort_outlier_n	cohort_outlier_pct	median_delta_from_e11	median_pct_delta_from_e11
sharedreward	tsnr	E11	394	27.211163444079336	7.9059737539270047	20.570544202113524	27.488216099707643	33.266943050577538	6.4949562717811204	48.045557023957372	1.3878039781120606	lower	0	0	0	0
sharedreward	tsnr	XA30	34	29.867265311470391	8.1939112923574058	24.438672241696622	30.140006734523922	33.400110012036748	11.243041807436384	47.006515956949443	1.3878039781120606	lower	0	0	2.6517906348162796	9.6470088317025535
sharedreward	tsnr	XA60	239	41.504863928150577	10.293082904974225	34.229739356203936	41.283629005774856	47.441478968365118	15.966447172977496	86.607649609213695	1.3878039781120606	lower	0	0	13.795412906067213	50.186643091087809
sharedreward	fd_mean	E11	394	0.21178562169520784	0.14487487514639599	0.11771281132335476	0.16664835364722505	0.25705799754521685	0.054618265553953452	1.30325289081171	0.42309287291370834	upper	27	6.8527918781725887	0	0
sharedreward	fd_mean	XA30	34	0.25162664859035788	0.24515316793571212	0.13106781015655961	0.18015844899072606	0.27932033899048581	0.096266824933482792	1.4325221555827801	0.42309287291370834	upper	2	5.882352941176471	0.013510095343501005	8.1069479822766723
sharedreward	fd_mean	XA60	239	0.18365609346961326	0.10035923899923994	0.12038884906775532	0.16186509847362965	0.20804901917014373	0.05844327316242718	0.73469759242939758	0.42309287291370834	upper	7	2.9288702928870292	-0.0047832551735954021	-2.8702684838525259
sharedreward	tedana_rejected_components	E11	394	10.522842639593909	4.6020008935210637	8	10	13	1	33	39	upper	0	0	0	0
sharedreward	tedana_rejected_components	XA30	34	12.441176470588236	5.1346067864259162	10	11	13	5	33	39	upper	0	0	1	10
sharedreward	tedana_rejected_components	XA60	239	30.15481171548117	18.625944919056558	18	26	39	4	121	39	upper	56	23.430962343096233	16	160
sharedreward	brain_coverage_pct	E11	394	99.841736386409352	0.12985310666708258	99.794423189329919	99.873133535256926	99.929260322014997	99.062118072161113	100	99.151788086508304	lower	1	0.25380710659898476	0	0
sharedreward	brain_coverage_pct	XA30	34	99.649407826258198	1.2592329540734848	99.786452521387957	99.888410648812368	99.963467771932613	92.439821457038093	99.980073330145061	99.151788086508304	lower	1	2.9411764705882355	0.015277113555441701	0.015296519709225524
sharedreward	brain_coverage_pct	XA60	239	99.338384535703582	1.5660231748100013	99.386258568468037	99.54035814867953	99.719033955045433	80.801317817099743	99.989372442744042	99.151788086508304	lower	29	12.133891213389122	-0.33277538657739569	-0.33319810323155652
