onset	duration	trial_type	rt	resp	gender	image_left	image_right
0.612891600001603	3.00133070000447	decision	1.78254219994415	left	D	DD017.jpg	DD018.jpg
4.1627760999836	1.000204400043	loss	NaN	n/a	n/a	DD017.jpg	DD018.jpg
11.0964425000129	3.0011525999289	decision	1.28243299992755	right	D	DD035.jpg	DD036.jpg
14.6464905999601	1.01672489999328	win	NaN	n/a	n/a	DD035.jpg	DD036.jpg
21.5966032999568	3.001162200002	decision	1.03235019999556	left	D	DD021.jpg	DD022.jpg
25.1466178999981	1.00001299998257	loss	NaN	n/a	n/a	DD021.jpg	DD022.jpg
32.0634797000093	3.00142729992513	decision	1.28287250001449	right	S	SD025.jpg	SD026.jpg
35.6134346999461	1.01680860004853	loss	NaN	n/a	n/a	SD025.jpg	SD026.jpg
38.3632365999511	3.0011987000471	decision	1.28365080000367	right	S	SD027.jpg	SD028.jpg
41.9133230999578	1.00015460001305	loss	NaN	n/a	n/a	SD027.jpg	SD028.jpg
44.6300470000133	3.00113170000259	decision	1.28349439997692	right	S	SD023.jpg	SD024.jpg
48.17984170001	1.016736999969	win	NaN	n/a	n/a	SD023.jpg	SD024.jpg
50.9299376999261	3.00183690001722	decision	1.03257180005312	left	D	DD037.jpg	DD038.jpg
54.4799793999409	1.00032059999648	win	NaN	n/a	n/a	DD037.jpg	DD038.jpg
59.3136258999584	3.00105010007974	decision	1.03329070005566	left	S	SD011.jpg	SD012.jpg
62.8635967000155	1.00010059995111	loss	NaN	n/a	n/a	SD011.jpg	SD012.jpg
67.6805322000291	3.0011996999383	decision	1.03330469992943	right	D	DD009.jpg	DD010.jpg
71.230466100038	1.00003399990965	win	NaN	n/a	n/a	DD009.jpg	DD010.jpg
73.9472911999328	3.00127110001631	decision	1.28234060003888	left	D	DD027.jpg	DD028.jpg
77.4972550999373	1.01659710006788	win	NaN	n/a	n/a	DD027.jpg	DD028.jpg
82.347305299947	3.00118790008128	decision	1.03245300007984	right	D	DD015.jpg	DD016.jpg
85.8973558000289	1.00000269990414	loss	NaN	n/a	n/a	DD015.jpg	DD016.jpg
92.8308243999491	3.00121230003424	decision	1.04339910007548	left	S	SD029.jpg	SD030.jpg
96.38033179997	1.00044029997662	loss	NaN	n/a	n/a	SD029.jpg	SD030.jpg
