Volume,Subject,Session,Task,Run,Filepath
0,sub-10317,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10317/ses-01/func/sub-10317_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
1,sub-10317,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10317/ses-01/func/sub-10317_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
2,sub-10317,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10317/ses-01/func/sub-10317_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
3,sub-10317,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10317/ses-01/func/sub-10317_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
4,sub-10317,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10317/ses-01/func/sub-10317_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
5,sub-10317,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10317/ses-01/func/sub-10317_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
6,sub-10317,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10317/ses-01/func/sub-10317_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
7,sub-10369,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10369/ses-01/func/sub-10369_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
8,sub-10369,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10369/ses-01/func/sub-10369_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
9,sub-10369,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10369/ses-01/func/sub-10369_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
10,sub-10369,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10369/ses-01/func/sub-10369_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
11,sub-10369,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10369/ses-01/func/sub-10369_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
12,sub-10369,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10369/ses-01/func/sub-10369_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
13,sub-10369,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10369/ses-01/func/sub-10369_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
14,sub-10402,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10402/ses-01/func/sub-10402_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
15,sub-10402,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10402/ses-01/func/sub-10402_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
16,sub-10402,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10402/ses-01/func/sub-10402_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
17,sub-10402,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10402/ses-01/func/sub-10402_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
18,sub-10402,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10402/ses-01/func/sub-10402_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
19,sub-10402,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10402/ses-01/func/sub-10402_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
20,sub-10402,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10402/ses-01/func/sub-10402_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
21,sub-10402,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10402/ses-01/func/sub-10402_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
22,sub-10418,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10418/ses-01/func/sub-10418_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
