paradigm	bids_tasks	metric	n	q1	q3	iqr	lower_fence	upper_fence	outlier_direction	n_outliers
sharedreward	sharedreward	tsnr	667	23.810397849883884	38.758793764398433	14.948395914514549	1.3878039781120606	61.181387636170257	lower	0
sharedreward	sharedreward	fd_mean	667	0.11862626421036214	0.24041290769170062	0.12178664348133848	-0.064053701011645578	0.42309287291370834	upper	36
sharedreward	sharedreward	tedana_rejected_components	667	9	21	12	-9	39	upper	56
sharedreward	sharedreward	brain_coverage_pct	667	99.604123492215308	99.905680429353311	0.30155693713800247	99.151788086508304	100.35801583506031	lower	31
trust	trust	tsnr	653	23.741534870467149	39.231842531589791	15.490307661122642	0.50607337878318503	62.467304023273755	lower	0
trust	trust	fd_mean	653	0.12393798016434637	0.24595163940915399	0.12201365924480762	-0.05908250870286505	0.42897212827636544	upper	47
trust	trust	tedana_rejected_components	653	9	22	13	-10.5	41.5	upper	63
trust	trust	brain_coverage_pct	653	99.612094160157284	99.909665763324298	0.29757160316701459	99.165736755406755	100.35602316807481	lower	25
ugr	ugr	tsnr	713	25.941902817226946	39.942565102363005	14.000662285136059	4.940909389522858	60.943558530067094	lower	1
ugr	ugr	fd_mean	713	0.12238602501438045	0.24442319492922954	0.12203716991484909	-0.060669729857893179	0.42747894980150314	upper	36
ugr	ugr	tedana_rejected_components	713	9	22	13	-10.5	41.5	upper	55
ugr	ugr	brain_coverage_pct	713	99.581539933046386	99.896381316754344	0.31484138370795733	99.109277857484443	100.36864339231627	lower	31
socialdoors	socialdoors;doors	tsnr	728	27.164348462334601	40.698391327285208	13.534042864950607	6.8632841649086913	60.999455624711118	lower	4
socialdoors	socialdoors;doors	fd_mean	728	0.11953524056778075	0.22577897753700504	0.10624373696922429	-0.03983036488605568	0.38514458299084148	upper	45
socialdoors	socialdoors;doors	tedana_rejected_components	728	9	20	11	-7.5	36.5	upper	59
socialdoors	socialdoors;doors	brain_coverage_pct	728	99.565598597162449	99.892395982783356	0.32679738562090677	99.075402518731096	100.38259206121472	lower	37
