grouping	group	comparison	metric	n	median	q25	q75	p90	p95
all	all	base_vs_tedana_full	candidate_minus_reference_tsnr	51	8.564833421130885	6.4927116547584305	12.601704922675736	37.074364962904625	56.61098100514643
all	all	base_vs_tedana_full	candidate_minus_reference_standardized_dvars	51	-0.049573692967220584	-0.09823185254211975	0.030387907440336148	0.17688485198546866	0.2687282937702853
all	all	base_vs_tedana_full	candidate_minus_reference_fd_dvars_spearman	51	-0.08335889831952825	-0.19346900762817057	0.0009214111469491304	0.09238619178604174	0.1240689305614
all	all	base_vs_tedana_full	candidate_minus_reference_fraction_high_dvars	51	0.0	-0.004468195207387948	0.0	0.06302521008403361	0.11956521739130432
all	all	base_vs_tedana_full	candidate_minus_reference_motion24_global_signal_r_squared	51	-0.037184704930707246	-0.07834766424882511	0.000961530483343187	0.02734950278198589	0.04806161147707905
all	all	base_vs_tedana_full	candidate_minus_reference_variance_removed_fraction	51	0.10674524498278704	0.08928056984382965	0.17097660667927544	0.29198237612465705	0.3337913663547323
all	all	base_vs_tedana_full	candidate_minus_reference_lag1_autocorrelation	51	-0.02144384160896879	-0.041321794790585925	-0.003867914947733345	0.0066465756869718015	0.01589593553100486
all	all	base_vs_tedana_full	median_voxelwise_temporal_correlation	51	0.9131838248560453	0.8186496391076784	0.9315408054451983	0.9436501937043363	0.9501550653177478
all	all	base_vs_tedana_full	median_volume_spatial_correlation	51	0.9997045492885254	0.9993901183012883	0.9997962818138406	0.9998367168416414	0.9998717641642285
all	all	base_vs_tedana_full	normalized_rmse	51	0.00909297546750192	0.007905469346212612	0.0142725316288085	0.027623729482269575	0.03223853947120234
all	all	tedana_full_vs_tedana_nss	candidate_minus_reference_tsnr	51	-2.842170943040401e-14	-1.1293461495331698	0.5706980958099308	2.7920344763059717	3.9459128153759195
all	all	tedana_full_vs_tedana_nss	candidate_minus_reference_standardized_dvars	51	-1.7763568394002505e-15	-0.018212778113130268	0.0028277779640402123	0.02006540660842271	0.028037715301199695
all	all	tedana_full_vs_tedana_nss	candidate_minus_reference_fd_dvars_spearman	51	0.0	-0.023681450076766156	0.00804141031271162	0.052776570830005476	0.06993120190032512
all	all	tedana_full_vs_tedana_nss	candidate_minus_reference_fraction_high_dvars	51	0.0	0.0	0.0	0.004201680672268893	0.014880952380952439
all	all	tedana_full_vs_tedana_nss	candidate_minus_reference_motion24_global_signal_r_squared	51	-1.27675647831893e-14	-0.008147453171807872	0.006110985976352068	0.04812088007386062	0.05453956475912164
