level	group	session	n_runs	n_complete	n_incomplete	nss_count_median	nss_count_q1	nss_count_q3	n_ica_median	n_ica_q1	n_ica_q3	n_rejected_median	n_rejected_q1	n_rejected_q3	rejected_fraction_median	rejected_fraction_q1	rejected_fraction_q3	rejected_normalized_variance_median	rejected_normalized_variance_q1	rejected_normalized_variance_q3	mean_fd_median	mean_fd_q1	mean_fd_q3	p95_fd_median	p95_fd_q1	p95_fd_q3	fraction_fd_gt_0_2_median	fraction_fd_gt_0_2_q1	fraction_fd_gt_0_2_q3	fraction_fd_gt_0_5_median	fraction_fd_gt_0_5_q1	fraction_fd_gt_0_5_q3	mean_standardized_dvars_median	mean_standardized_dvars_q1	mean_standardized_dvars_q3	p95_standardized_dvars_median	p95_standardized_dvars_q1	p95_standardized_dvars_q3	max_standardized_dvars_median	max_standardized_dvars_q1	max_standardized_dvars_q3
overall	all	all	2749	2749	0	1	1	2	31	23	43	13	9	21	0.44	0.33333333333333331	0.61538461538461542	0.6832391748566824	0.54549357514992569	0.7715442156006298	0.14787688197503568	0.10996132828314704	0.21054560151106524	0.27481738560168206	0.19713317100588243	0.43887369592684733	0.16589861751152074	0.050179211469534052	0.3942652329749104	0.0071684587813620072	0	0.036866359447004608	1.2552869815668204	1.1569830209205021	1.3831972047244094	1.58375545	1.4007042499999998	1.7723502999999998	2.074732	1.738858	2.4510360000000002
paradigm	sharedreward	all	665	665	0	1	1	2	31	24	43	12	9	20	0.41935483870967744	0.3235294117647059	0.59999999999999998	0.67759204132601547	0.51530797201999368	0.7688657696634672	0.15072477469800954	0.10980805972796068	0.21236146328359046	0.2832055014663834	0.198992493974191	0.45280268386185785	0.17322834645669291	0.051181102362204724	0.39370078740157483	0.007874015748031496	0	0.03937007874015748	1.2472200433070868	1.1543831771653545	1.3691011141732281	1.5838795999999999	1.4077580499999998	1.7680264499999998	2.0865710000000002	1.7694000000000001	2.4586070000000002
paradigm	socialdoors	all	724	724	0	1	1	2	29	23	40	13	9	20	0.46666666666666667	0.34615384615384615	0.64839181286549707	0.68199006839424858	0.5537321283258696	0.77156736462459752	0.14433236388510337	0.10841668672433365	0.1979298937016267	0.2609825672123906	0.19162646131045788	0.39064981776350693	0.14516129032258063	0.041474654377880185	0.3686635944700461	0.004608294930875576	0	0.027649769585253458	1.2690188294930875	1.1690617488479262	1.4020761451612904	1.5883511999999995	1.3996480499999997	1.78624235	2.056762	1.6892925000000001	2.4477242499999998
paradigm	trust	all	651	651	0	1	1	2	32	24	46	13	9	21.5	0.42857142857142855	0.33333333333333331	0.58513575701794751	0.68246601720552524	0.55191889490974888	0.76783569548197106	0.14770583031259663	0.11118595878131805	0.21846215151149351	0.27879150096662464	0.20274952061621032	0.4724655928687066	0.16845878136200718	0.053763440860215055	0.44444444444444442	0.0071684587813620072	0	0.043010752688172046	1.2400964408602149	1.1498961702508961	1.3762246612903226	1.5729107999999996	1.3963582499999998	1.7602654999999987	2.068403	1.7435565	2.4461765
paradigm	ugr	all	709	709	0	1	1	2	31	24	45	13	9	21	0.45454545454545453	0.33333333333333331	0.62	0.69377458973501194	0.55927018089791058	0.77944943179213544	0.15054190406765938	0.11064365065040664	0.21511944041690267	0.2788308465793628	0.1966167680307857	0.44622174732050929	0.17154811715481172	0.046025104602510462	0.40167364016736401	0.008368200836820083	0	0.037656903765690378	1.2589005815899583	1.1591546485355648	1.3829371464435145	1.5863875999999999	1.4022346999999999	1.7721357	2.0997810000000001	1.7697860000000001	2.4492699999999998
scanner	Siemens|MAGNETOM Prisma|syngo MR XA30	all	140	140	0	1.5	1	2	29	24	35	12	10	15	0.40312500000000001	0.33333333333333331	0.4838709677419355	0.66867364156264752	0.53078849359157543	0.74307957393307444	0.15405765537635641	0.10972991350632072	0.21038299278124661	0.27183060560237071	0.19821721434612485	0.50218971381065214	0.18391753450173567	0.050691244239631339	0.3838687182255815	0.011811023622047244	0	0.051843317972350235	1.2672575937057293	1.20446910041841	1.3405725454707595	1.5639835	1.4393289499999999	1.7400769874999995	2.1820979999999999	1.7395782499999999	2.7414452499999999
scanner	Siemens|MAGNETOM Prisma|syngo MR XA60	all	1053	1053	0	1	1	1	40	29	53	24	17	36	0.65454545454545454	0.55000000000000004	0.74545454545454548	0.73928225210101828	0.64523490283135654	0.81307156966103822	0.14645407889357201	0.11325281672003251	0.18870010488233388	0.26971178233262488	0.19890882748263197	0.38088658030571843	0.16845878136200718	0.050691244239631339	0.35826771653543305	0.0041841004184100415	0	0.025104602510460251	1.4105225314960632	1.3304488619246861	1.4937296102362205	1.7600119999999999	1.6637080999999996	1.8770086000000001	2.17231	1.9726710000000001	2.4060260000000002
scanner	Siemens|Prisma|syngo MR E11	all	1556	1556	0	2	1	2	27	21	35	10	8	13	0.35483870967741937	0.2857142857142857	0.42857142857142855	0.64020736279089729	0.46270891871224012	0.73472962611946868	0.14886963233132047	0.10729246301489781	0.22528811425534009	0.27706536850710239	0.19531611470960253	0.47380591557759594	0.16141732283464566	0.046594982078853049	0.44152382237818866	0.007874015748031496	0	0.043307086614173228	1.1715697875215194	1.1209704857910907	1.2368589243196719	1.4312965749999997	1.3284132749999995	1.5700221499999996	1.909354	1.592365	2.5090469999999998
session	01	01	2646	2646	0	1	1	2	31	23	42	12	9	20	0.42857142857142855	0.33333333333333331	0.59999999999999998	0.68049705764428003	0.54253697783423072	0.76946309363366783	0.14578015306043712	0.10895964937185766	0.21042947107058535	0.27053760142634542	0.194841800247605	0.43823801625636311	0.16014306924011337	0.046082949308755762	0.39144905273937536	0.004608294930875576	0	0.036866359447004608	1.2475420689219676	1.1548750265459755	1.3724387391032187	1.5699104249999998	1.3965765749999999	1.7660672749999997	2.0670060000000001	1.727816	2.4490334999999996
session	02	02	103	103	0	1	1	1	42	26	53.5	25	17.5	38	0.65853658536585369	0.57518796992481203	0.75277777777777777	0.753739266987	0.68927637828625699	0.81873573676384859	0.17575109616227028	0.14706867286208919	0.22002587388578371	0.34303120679872562	0.26287885392781124	0.46978977687852019	0.31336405529953915	0.17563580972947959	0.43416308350847427	0.0092165898617511521	0	0.041474654377880185	1.3966296682027648	1.3383969788384782	1.4798002807685635	1.7692201999999999	1.6858672499999998	1.8835806999999998	2.2470919999999999	2.0227119999999998	2.485887
