task	configuration	classification	n_runs	n_components	motion24_r2_q25	motion24_r2_median	motion24_r2_q75	motion24_r2_gt_10_count	motion24_r2_gt_25_count	motion24_r2_gt_50_count	motion24_r2_gt_10_fraction	motion24_r2_gt_25_fraction	motion24_r2_gt_50_fraction
doors	fastica	accepted	6	134	0.2379147353100364	0.300424150808306	0.4555388556521186	133	93	28	0.9925373134328358	0.6940298507462687	0.208955223880597
doors	fastica	rejected	6	132	0.2339863926883122	0.3581655952713628	0.5690510398561929	125	95	42	0.946969696969697	0.7196969696969697	0.3181818181818182
doors	robustica	accepted	6	107	0.22386856359687204	0.2819941078735744	0.4394606757250856	106	69	22	0.9906542056074766	0.6448598130841121	0.205607476635514
doors	robustica	rejected	6	113	0.2154371197018556	0.3545257383372806	0.5658389671182504	108	79	36	0.9557522123893806	0.6991150442477876	0.3185840707964602
sharedreward	fastica	accepted	13	298	0.22774281529663748	0.3103361338511861	0.4573193199401485	294	204	62	0.9865771812080537	0.6845637583892618	0.2080536912751678
sharedreward	fastica	rejected	13	307	0.2093603149664418	0.3372690490316096	0.5357461207599049	287	206	87	0.9348534201954397	0.6710097719869706	0.28338762214983715
sharedreward	robustica	accepted	13	214	0.23394165831564231	0.3234869190565429	0.5100817344596922	212	147	56	0.9906542056074766	0.6869158878504673	0.2616822429906542
sharedreward	robustica	rejected	13	270	0.19652767752413927	0.3235365488491073	0.51351088955054	249	168	70	0.9222222222222223	0.6222222222222222	0.25925925925925924
socialdoors	fastica	accepted	8	231	0.2233110191794083	0.356182006976514	0.4950298097665107	226	158	56	0.9783549783549783	0.683982683982684	0.24242424242424243
socialdoors	fastica	rejected	8	124	0.22580734068619937	0.5073063162976409	0.832109092015688	123	88	63	0.9919354838709677	0.7096774193548387	0.5080645161290323
socialdoors	robustica	accepted	8	182	0.20358667605996544	0.31179160210824997	0.4939865841382708	177	112	43	0.9725274725274725	0.6153846153846154	0.23626373626373626
socialdoors	robustica	rejected	8	117	0.2467289405060794	0.4420727991835544	0.7292207474456891	111	87	49	0.9487179487179487	0.7435897435897436	0.4188034188034188
trust	fastica	accepted	12	294	0.21901298812860392	0.31312192398530475	0.43508061496053263	289	196	60	0.9829931972789115	0.6666666666666666	0.20408163265306123
trust	fastica	rejected	12	455	0.18804197222982838	0.3290748289841994	0.5130629460787834	431	294	120	0.9472527472527472	0.6461538461538462	0.26373626373626374
trust	robustica	accepted	12	272	0.2083507116041184	0.2951289319241342	0.4881162504771151	265	170	63	0.9742647058823529	0.625	0.23161764705882354
trust	robustica	rejected	12	351	0.1849314482948327	0.3360837241174887	0.5051217814085065	327	225	91	0.9316239316239316	0.6410256410256411	0.25925925925925924
ugr	fastica	accepted	11	290	0.24074283420303244	0.3276517280607518	0.48158627017653577	285	209	66	0.9827586206896551	0.7206896551724138	0.22758620689655173
ugr	fastica	rejected	12	341	0.2160531795861446	0.3411925402919271	0.5724188245193194	334	224	102	0.9794721407624634	0.656891495601173	0.2991202346041056
ugr	robustica	accepted	11	223	0.2371319376786764	0.320899606258306	0.517927470627372	218	159	60	0.9775784753363229	0.7130044843049327	0.26905829596412556
ugr	robustica	rejected	12	281	0.2121291472785643	0.329662083113634	0.5578086268534305	272	186	87	0.9679715302491103	0.6619217081850534	0.3096085409252669
