subject	session	task	run	run_key	configuration	component	classification	normalized_variance_fraction	kappa	rho	reason_for_review	metrics_path	report_path	component_figure_path
10317	01	doors	1	sub-10317_ses-01_task-doors_run-1	nss-fastica	ICA_02	rejected	0.3011032229973431	40.23352627702667	18.41982210250457	largest_rejected_variance_aic	derivatives/tedana-audit/benchmark/nss-fastica/sub-10317_ses-01_task-doors_run-1/sub-10317_ses-01_task-doors_run-1_desc-tedana_metrics.tsv	derivatives/tedana-audit/benchmark/nss-fastica/sub-10317_ses-01_task-doors_run-1/sub-10317_ses-01_task-doors_run-1_tedana_report.html	
10317	01	doors	1	sub-10317_ses-01_task-doors_run-1	nss-kic-fastica	ICA_09	rejected	0.38315303662002814	48.48766641788121	21.253974397464837	largest_rejected_variance_kic	derivatives/tedana-audit/benchmark/nss-kic-fastica/sub-10317_ses-01_task-doors_run-1/sub-10317_ses-01_task-doors_run-1_desc-tedana_metrics.tsv	derivatives/tedana-audit/benchmark/nss-kic-fastica/sub-10317_ses-01_task-doors_run-1/sub-10317_ses-01_task-doors_run-1_tedana_report.html	
10317	01	doors	1	sub-10317_ses-01_task-doors_run-1	nss-mdl-fastica	ICA_10	rejected	0.24494583981287396	50.55044954022372	22.75903273872723	largest_rejected_variance_mdl	derivatives/tedana-audit/benchmark/nss-mdl-fastica/sub-10317_ses-01_task-doors_run-1/sub-10317_ses-01_task-doors_run-1_desc-tedana_metrics.tsv	derivatives/tedana-audit/benchmark/nss-mdl-fastica/sub-10317_ses-01_task-doors_run-1/sub-10317_ses-01_task-doors_run-1_tedana_report.html	
10541	02	ugr	2	sub-10541_ses-02_task-ugr_run-2	nss-fastica	ICA_010	rejected	0.17730184998344517	24.3507545883022	30.491064741616167	largest_rejected_variance_aic	derivatives/tedana-audit/benchmark/nss-fastica/sub-10541_ses-02_task-ugr_run-2/sub-10541_ses-02_task-ugr_run-2_desc-tedana_metrics.tsv	derivatives/tedana-audit/benchmark/nss-fastica/sub-10541_ses-02_task-ugr_run-2/sub-10541_ses-02_task-ugr_run-2_tedana_report.html	
10541	02	ugr	2	sub-10541_ses-02_task-ugr_run-2	nss-kic-fastica	ICA_73	rejected	0.18229447047677705	24.16585219914236	32.54769481117505	largest_rejected_variance_kic	derivatives/tedana-audit/benchmark/nss-kic-fastica/sub-10541_ses-02_task-ugr_run-2/sub-10541_ses-02_task-ugr_run-2_desc-tedana_metrics.tsv	derivatives/tedana-audit/benchmark/nss-kic-fastica/sub-10541_ses-02_task-ugr_run-2/sub-10541_ses-02_task-ugr_run-2_tedana_report.html	
10541	02	ugr	2	sub-10541_ses-02_task-ugr_run-2	nss-mdl-fastica	ICA_50	rejected	0.10062609316502535	23.452781116091337	31.846256556527223	largest_rejected_variance_mdl	derivatives/tedana-audit/benchmark/nss-mdl-fastica/sub-10541_ses-02_task-ugr_run-2/sub-10541_ses-02_task-ugr_run-2_desc-tedana_metrics.tsv	derivatives/tedana-audit/benchmark/nss-mdl-fastica/sub-10541_ses-02_task-ugr_run-2/sub-10541_ses-02_task-ugr_run-2_tedana_report.html	
10652	01	trust	2	sub-10652_ses-01_task-trust_run-2	nss-fastica	ICA_10	rejected	0.2419167974598942	39.826072578549045	22.96358363809188	largest_rejected_variance_aic	derivatives/tedana-audit/benchmark/nss-fastica/sub-10652_ses-01_task-trust_run-2/sub-10652_ses-01_task-trust_run-2_desc-tedana_metrics.tsv	derivatives/tedana-audit/benchmark/nss-fastica/sub-10652_ses-01_task-trust_run-2/sub-10652_ses-01_task-trust_run-2_tedana_report.html	
10652	01	trust	2	sub-10652_ses-01_task-trust_run-2	nss-kic-fastica	ICA_06	rejected	0.27660201450048727	37.13086589400113	19.2297670958066	largest_rejected_variance_kic	derivatives/tedana-audit/benchmark/nss-kic-fastica/sub-10652_ses-01_task-trust_run-2/sub-10652_ses-01_task-trust_run-2_desc-tedana_metrics.tsv	derivatives/tedana-audit/benchmark/nss-kic-fastica/sub-10652_ses-01_task-trust_run-2/sub-10652_ses-01_task-trust_run-2_tedana_report.html	
10866	02	ugr	1	sub-10866_ses-02_task-ugr_run-1	nss-fastica	ICA_017	rejected	0.17363319353358456	31.455773955552303	25.290283206109283	largest_rejected_variance_aic	derivatives/tedana-audit/benchmark/nss-fastica/sub-10866_ses-02_task-ugr_run-1/sub-10866_ses-02_task-ugr_run-1_desc-tedana_metrics.tsv	derivatives/tedana-audit/benchmark/nss-fastica/sub-10866_ses-02_task-ugr_run-1/sub-10866_ses-02_task-ugr_run-1_tedana_report.html	
10866	02	ugr	1	sub-10866_ses-02_task-ugr_run-1	nss-kic-fastica	ICA_87	rejected	0.17469568732932478	30.455663568742366	24.76029022005011	largest_rejected_variance_kic	derivatives/tedana-audit/benchmark/nss-kic-fastica/sub-10866_ses-02_task-ugr_run-1/sub-10866_ses-02_task-ugr_run-1_desc-tedana_metrics.tsv	derivatives/tedana-audit/benchmark/nss-kic-fastica/sub-10866_ses-02_task-ugr_run-1/sub-10866_ses-02_task-ugr_run-1_tedana_report.html	
