subject	session	task	run	run_key	software_versions	nss_count	number_of_original_volumes	number_of_steady_state_volumes	selection_reason	criterion	configuration	pca_components	n_ica	n_accepted	n_rejected	rejected_fraction	accepted_normalized_variance	rejected_normalized_variance	largest_component_normalized_variance	largest_rejected_component_normalized_variance	combined_confound_columns	combined_confound_rank	combined_rank_with_intercept	combined_rank_fraction	residual_df_before_task	zero_columns	duplicate_columns	standardized_condition_number	median_optcom_tsnr	median_denoised_tsnr	median_tsnr_change	median_variance_removed_fraction	median_signal_percent_change	optcom_median_dvars	denoised_median_dvars	dvars_percent_change	fd_denoised_dvars_spearman	motion24_global_signal_r_squared
10317	01	doors	1	sub-10317_ses-01_task-doors_run-1	syngo MR E11	1	218	217	scanner_control:syngo MR E11	aic	nss-fastica	17	17	8	9	0.5294117647058824	0.158522454800379	0.841477545199621	0.3011032229973431	0.3011032229973431	27	27	28	0.12844036697247707	190	0	0	96.33766544442798	34.408669961299026	44.04616718359027	6.445268088593572	0.2985497506678577	0.0	210.22783316686747	152.19168816354457	-27.606308893103108	0.0559354124245347	0.37875870100242104
10317	01	doors	1	sub-10317_ses-01_task-doors_run-1	syngo MR E11	1	218	217	scanner_control:syngo MR E11	kic	nss-kic-fastica	15	15	6	9	0.6	0.12829570591715797	0.8717042940828421	0.38315303662002814	0.38315303662002814	27	27	28	0.12844036697247707	190	0	0	97.19132617726237	34.408669961299026	44.127206727296084	6.477746693251959	0.2996253707436748	0.0	210.22783316686747	153.20184101640262	-27.125805033247286	-0.11398444849307565	0.3678667168135711
10317	01	doors	1	sub-10317_ses-01_task-doors_run-1	syngo MR E11	1	218	217	scanner_control:syngo MR E11	mdl	nss-mdl-fastica	11	11	6	5	0.45454545454545453	0.17319552956865605	0.826804470431344	0.24494583981287396	0.24494583981287396	23	23	24	0.11009174311926606	194	0	0	95.58722562148857	34.408669961299026	43.03850136403963	5.323887930989585	0.25985345679623684	0.0	210.22783316686747	168.8412555619476	-19.686535784283826	0.1649209921528001	0.3907490311270201
10541	02	ugr	2	sub-10541_ses-02_task-ugr_run-2	syngo MR XA60	1	240	239	highest_combined_rank_fraction	aic	nss-fastica	116	116	13	103	0.8879310344827587	0.11052807270754461	0.8894719272924555	0.17730184998344517	0.17730184998344517	122	122	123	0.5125	117	0	0	175.76755438678134	39.89420772966293	94.97784652398173	51.464645861113446	0.8209350527292323	0.0	707.8066470721524	264.60852345348235	-62.615705214406	-0.28573787440933685	0.23906524266816087
10541	02	ugr	2	sub-10541_ses-02_task-ugr_run-2	syngo MR XA60	1	240	239	highest_combined_rank_fraction	kic	nss-kic-fastica	98	98	15	83	0.8469387755102041	0.14186394573009914	0.8581360542699009	0.18229447047677705	0.18229447047677705	102	102	103	0.42916666666666664	137	0	0	129.96230244955314	39.89420772966293	84.52784139702635	41.18505590015123	0.775140938703032	0.0	707.8066470721524	311.748063586821	-55.95575926330034	-0.075789587059865	0.30596703757011046
10541	02	ugr	2	sub-10541_ses-02_task-ugr_run-2	syngo MR XA60	1	240	239	highest_combined_rank_fraction	mdl	nss-mdl-fastica	62	62	9	53	0.8548387096774194	0.12416857690247986	0.8758314230975203	0.10062609316502535	0.10062609316502535	72	72	73	0.30416666666666664	167	0	0	77.6263974293685	39.89420772966293	78.58284029178493	34.67373399290514	0.7412290675376123	0.0	707.8066470721524	347.01820779749437	-50.972739626995896	0.4710025952015253	0.2564862555902979
10652	01	trust	2	sub-10652_ses-01_task-trust_run-2	syngo MR E11	0	280	280	low_burden_control	aic	nss-fastica	12	12	6	6	0.5	0.2436312610700698	0.7563687389299303	0.2419167974598942	0.2419167974598942	25	25	26	0.09285714285714286	254	0	0	40.79148310661301	37.42979645321234	42.19477367030764	3.0218947380988253	0.14653973125519543	0.0	179.3933389064181	156.90014371492344	-12.5384784789743	0.14405894639127406	0.21369358638820968
10652	01	trust	2	sub-10652_ses-01_task-trust_run-2	syngo MR E11	0	280	280	low_burden_control	kic	nss-kic-fastica	10	10	3	7	0.7	0.11873810926942029	0.8812618907305797	0.27660201450048727	0.27660201450048727	26	26	27	0.09642857142857143	253	0	0	42.58617693962821	37.42979645321234	42.878180080472944	3.6367026677917735	0.17226369447977397	0.0	179.3933389064181	153.2864833993805	-14.552856681404679	0.04237697399683939	0.21590516523415137
10652	01	trust	2	sub-10652_ses-01_task-trust_run-2	syngo MR E11	0	280	280	low_burden_control	mdl	nss-mdl-fastica	8	8	8	0	0.0	1.0	0.0	0.21111150903185513	0.0	19	19	20	0.07142857142857142	260	0	0	22.070798486341868	37.42979645321234	37.42979645321234	0.0	0.0	0.0	179.3933389064181	179.3933389064181	0.0	0.46107758954127015	0.29473702766623866
10866	02	ugr	1	sub-10866_ses-02_task-ugr_run-1	syngo MR XA60	1	240	239	highest_combined_rank_fraction	aic	nss-fastica	108	108	6	102	0.9444444444444444	0.037145135673287415	0.9628548643267125	0.17363319353358456	0.17363319353358456	121	121	122	0.5083333333333333	118	0	0	143.7818131924478	35.77551268665381	110.24628206456586	71.18574166749707	0.8852088382371827	0.0	1030.397527821492	326.3126001162678	-68.33138751738167	-0.5628836779137268	0.2346279762472092
10866	02	ugr	1	sub-10866_ses-02_task-ugr_run-1	syngo MR XA60	1	240	239	highest_combined_rank_fraction	kic	nss-kic-fastica	94	94	8	86	0.9148936170212766	0.05726254645230775	0.9427374535476922	0.17469568732932478	0.17469568732932478	105	105	106	0.44166666666666665	134	0	0	129.12408739057804	35.77551268665381	97.05580190546293	58.330450071016834	0.8523484060285367	0.0	1030.397527821492	377.4033128817647	-63.37303781389247	-0.2829428365806362	0.27540879381897143
10866	02	ugr	1	sub-10866_ses-02_task-ugr_run-1	syngo MR XA60	1	240	239	highest_combined_rank_fraction	mdl	nss-mdl-fastica	65	65	9	56	0.8615384615384616	0.10016950622475185	0.8998304937752482	0.19893861575397637	0.19893861575397637	75	75	76	0.31666666666666665	164	0	0	67.78172354409799	35.77551268665381	78.07454610788189	39.33450345211438	0.7775719546008856	0.0	1030.397527821492	419.54474544327945	-59.28321505872614	0.13565947537852066	0.37110424923010166
11005	01	socialdoors	1	sub-11005_ses-01_task-socialdoors_run-1	syngo MR E11	1	218	217	highest_pca_fraction	aic	nss-fastica	164	164	132	32	0.1951219512195122	0.5718615202536288	0.42813847974637126	0.10957975341516038	0.10957975341516038	50	50	51	0.23394495412844038	167	0	0	56.508141056453745	14.934243568716239	20.7415450859248	4.517297574348438	0.41908118545554285	0.0	467.55247606330477	376.33664420936776	-19.509218007346565	0.840238631086343	0.6684722990990987
11005	01	socialdoors	1	sub-11005_ses-01_task-socialdoors_run-1	syngo MR E11	1	218	217	highest_pca_fraction	kic	nss-kic-fastica	156	156	122	34	0.21794871794871795	0.5713279764275189	0.42867202357248124	0.10453683863111611	0.10453683863111611	52	52	53	0.24311926605504589	165	0	0	57.433375593172386	14.934243568716239	20.65872262191349	4.442525999641669	0.4164729629143198	0.0	467.55247606330477	366.98379893719033	-21.509602082076842	0.8422617559151693	0.5862323324926455
11005	01	socialdoors	1	sub-11005_ses-01_task-socialdoors_run-1	syngo MR E11	1	218	217	highest_pca_fraction	mdl	nss-mdl-fastica	125	125	93	32	0.256	0.5098216169246547	0.4901783830753453	0.1169283033234665	0.1169283033234665	50	50	51	0.23394495412844038	167	0	0	59.45650522832385	14.934243568716239	21.73262664857659	5.5445759880792735	0.47607606513377176	0.0	467.55247606330477	378.299449869407	-19.08941365157336	0.8215315733695329	0.5972398595485598
11005	01	ugr	1	sub-11005_ses-01_task-ugr_run-1	syngo MR E11	0	240	240	highest_pca_fraction	aic	nss-fastica	159	159	124	35	0.22012578616352202	0.5113885070332301	0.48861149296677003	0.09556844440543523	0.09556844440543523	53	53	54	0.225	186	0	0	103.16700306893483	15.827955276439905	23.440688534493965	5.953241316572139	0.4782244327765093	0.0	444.07249859795473	359.8510376819784	-18.965700686686077	0.855597552828663	0.4438738403012771
11005	01	ugr	1	sub-11005_ses-01_task-ugr_run-1	syngo MR E11	0	240	240	highest_pca_fraction	kic	nss-kic-fastica	140	140	104	36	0.2571428571428571	0.4670226043712761	0.5329773956287239	0.078854072301221	0.078854072301221	54	54	55	0.22916666666666666	185	0	0	99.71929792342121	15.827955276439905	24.43351670924862	7.008067140466085	0.5247105532509256	0.0	444.07249859795473	352.5447748123228	-20.610986736311585	0.8511532646531418	0.3829397669854703
11005	01	ugr	1	sub-11005_ses-01_task-ugr_run-1	syngo MR E11	0	240	240	highest_pca_fraction	mdl	nss-mdl-fastica	105	105	79	26	0.24761904761904763	0.49037929670244484	0.5096207032975553	0.07779279010918175	0.07779279010918175	44	44	45	0.1875	195	0	0	76.06547902082096	15.827955276439905	23.56789939606712	6.215551693405537	0.48460627231720116	0.0	444.07249859795473	391.8428505833945	-11.7615137572045	0.8365141872648643	0.5650318004370654
11005	01	ugr	2	sub-11005_ses-01_task-ugr_run-2	syngo MR E11	0	240	240	highest_pca_fraction	aic	nss-fastica	141	141	112	29	0.20567375886524822	0.5903626490763652	0.4096373509236347	0.13622309630675644	0.13622309630675644	47	47	48	0.2	192	0	0	59.94302920439512	19.10384284725416	25.724588456063948	4.959876398365957	0.379338970715806	0.0	446.1965069644729	379.07349519062194	-15.043374550485993	0.8394931612812491	0.4797363958196872
