subject	session	task	run	issue	source_sha256	trial_fingerprint	reviewer	note
11201	01	sharedreward	1	unexpected_trial_count	0c580eab3e4c52f9e4d0a9044a239afcebd6722d2cc29bfdb3ae248aef596df8	b0c58af305286d65a013f2e839c5e3b84de15d49700ab8b5af5720cae624a6d0	David V. Smith	PI-directed conversion approval 2026-08-22; retain run-level behavioral QC flag for analysis decisions.
12041	01	sharedreward	1	unexpected_trial_count	dcfcc61f3c4c884ee1af677f55c2acce23af1da1c09873eb17f19883a3769d53	ab6eab51fd7a428a856121e3d4bf078fe1e5e16d6ac5624961c766d41f98508b	David V. Smith	PI-directed conversion approval 2026-08-22; retain run-level behavioral QC flag for analysis decisions.
11201	01	trust	1	unexpected_trial_count	496cca68f4105a5394e0c8da2e4b795d5b106435ac44f8c0b5e1676d62164e7d	a024f3c7aeb11e8956f2116e7fe8f2bad5d95124afb69dd2ee74507d9df857cc	David V. Smith	PI-directed conversion approval 2026-08-22; retain run-level behavioral QC flag for analysis decisions.
10836	01	ugr	1	unexpected_trial_count	b7488c42b1be408994a012b358982854571c29fd995a093d9cb377d2c95aada9	7e2dd4be5a680a2f15d814750be80836bfc7200cdb4227ecff9309b9dae0baf6	David V. Smith	PI-directed conversion approval 2026-08-22; retain run-level behavioral QC flag for analysis decisions.
11201	01	ugr	1	unexpected_trial_count	835f999eff933b3079ad1abebb571c10e021924a65129e9b17d66f6a947b8b1c	b914f5153b9142518a11218815bae1ffe4c78859a2a786014c5842d20f0a6ab5	David V. Smith	PI-directed conversion approval 2026-08-22; retain run-level behavioral QC flag for analysis decisions.
10800	01	socialdoors	1	behaviorally_poor	6ed537ef9417823a848365556bb5980e42658cae78534134190dec0835a0d11f	0770d9b676fbdd2884e9fb6a68f4eead2bc0149ac65c1e2d4508505a7de399e8	David V. Smith	PI-directed conversion approval 2026-08-22; retain run-level behavioral QC flag for analysis decisions.
10954	01	socialdoors	1	behaviorally_poor	a1943633b5c2edc4ad421a306d620db36131a5aedd20d1128730912821bc8c84	e8e35392102e941220f928b92fe340b2b39c58f4caadac1d19c5ba969829a403	David V. Smith	PI-directed conversion approval 2026-08-22; retain run-level behavioral QC flag for analysis decisions.
10954	01	doors	1	behaviorally_poor	14dd0fe2044d5bcf51e1925160d71d0e6ce0810b1868c680edd55c364dbee1f7	709d62761374aaa2a6ce872f7f9e80ad6a07f757efa30442385174f569658fbd	David V. Smith	PI-directed conversion approval 2026-08-22; retain run-level behavioral QC flag for analysis decisions.
11125	01	socialdoors	1	behaviorally_poor	0c5f52605fffe28b7edb177e8fb15e490f24155f33b47d8231555c7fed1db2d2	32423e26dd66bdf81c0b80d9cce10dfccde7cdcc0235f969a77c0138826b5bcb	David V. Smith	PI-directed conversion approval 2026-08-22; retain run-level behavioral QC flag for analysis decisions.
11125	01	doors	1	behaviorally_poor	332ff47e5ff921b7734d6be71225ec7aa1b00c883500d818492732c824c8d5cb	f2629904e6553e838ecd6651a749f09f348f898ef83bd224b22cabeb92cccab2	David V. Smith	PI-directed conversion approval 2026-08-22; retain run-level behavioral QC flag for analysis decisions.
